Age	Prevalence (prevalence data)	# positive labels (prevalence data)	# negative labels (prevalence data)	# positive labels	# negative labels	# positive predictions	# negative predictions	# true positives	# false positives	# false negatives	# true negatives
50.0	0.01875	0	57	0	11	4	7	0	4	0	7
51.0	0.014705882352941176	2	46	0	7	2	5	0	2	0	5
52.0	0.01568627450980392	1	54	1	6	3	4	1	2	0	4
53.0	0.024193548387096774	0	44	0	3	1	2	0	1	0	2
54.0	0.01606425702811245	1	50	0	10	1	9	0	1	0	9
55.0	0.01639344262295082	2	48	0	6	5	1	0	5	0	1
56.0	0.02	0	49	0	7	3	4	0	3	0	4
57.0	0.02510460251046025	1	49	0	8	1	7	0	1	0	7
58.0	0.022123893805309734	1	49	0	3	0	3	0	0	0	3
59.0	0.03587443946188341	2	38	0	7	3	4	0	3	0	4
60.0	0.04285714285714286	1	36	0	1	0	1	0	0	0	1
61.0	0.058823529411764705	3	43	0	7	6	1	0	6	0	1
62.0	0.06403940886699508	2	35	0	5	0	5	0	0	0	5
63.0	0.06403940886699508	4	40	0	7	1	6	0	1	0	6
64.0	0.06598984771573604	3	36	0	5	1	4	0	1	0	4
65.0	0.06796116504854369	1	36	0	6	1	5	0	1	0	5
66.0	0.07291666666666667	3	37	0	5	3	2	0	3	0	2
67.0	0.08287292817679558	3	43	0	6	2	4	0	2	0	4
68.0	0.09770114942528736	4	26	1	1	2	0	1	1	0	0
69.0	0.1165644171779141	4	24	1	4	4	1	1	3	0	1
70.0	0.13380281690140844	3	27	1	4	2	3	0	2	1	2
71.0	0.13533834586466165	5	24	1	4	3	2	1	2	0	2
72.0	0.15079365079365079	3	22	0	1	1	0	0	1	0	0
73.0	0.16521739130434782	3	18	1	6	5	2	1	4	0	2
74.0	0.16326530612244897	5	16	1	4	2	3	1	1	0	3
75.0	0.22093023255813954	3	16	0	4	2	2	0	2	0	2
76.0	0.22666666666666666	2	10	0	2	1	1	0	1	0	1
77.0	0.2222222222222222	6	7	1	1	1	1	1	0	0	1
78.0	0.25925925925925924	1	9	0	1	0	1	0	0	0	1
79.0	0.2978723404255319	2	7	0	2	2	0	0	2	0	0
81.0	0.35294117647058826	2	3	1	1	2	0	1	1	0	0
82.0	0.35714285714285715	2	2	1	0	1	0	1	0	0	0
83.0	0.42857142857142855	3	3	1	1	1	1	1	0	0	1
84.0	0.3888888888888889	0	3	0	1	0	1	0	0	0	1
